Surface Area,Label
16946.5,Not Slip Sheet
12602.5,Not Slip Sheet
15782.0,Not Slip Sheet
17251.5,Not Slip Sheet
12879.5,Not Slip Sheet
10166.0,Not Slip Sheet
10387.0,Not Slip Sheet
9499.0,Not Slip Sheet
14403.5,Not Slip Sheet
10755.0,Not Slip Sheet
10157.0,Not Slip Sheet
10517.0,Not Slip Sheet
11817.5,Not Slip Sheet
9088.5,Not Slip Sheet
9343.0,Not Slip Sheet
9629.0,Not Slip Sheet
12331.5,Not Slip Sheet
9339.0,Not Slip Sheet
10913.5,Not Slip Sheet
10395.0,Not Slip Sheet
13795.0,Not Slip Sheet
12242.0,Not Slip Sheet
9854.5,Not Slip Sheet
9578.5,Not Slip Sheet
13262.0,Not Slip Sheet
13854.5,Not Slip Sheet
8665.0,Not Slip Sheet
16834.0,Not Slip Sheet
24671.5,Not Slip Sheet
13108.5,Not Slip Sheet
10351.5,Not Slip Sheet
16518.5,Not Slip Sheet
24883.0,Slip Sheet
51328.0,Slip Sheet
19940.5,Slip Sheet
26171.0,Slip Sheet
32413.5,Slip Sheet
71738.5,Slip Sheet
20425.5,Slip Sheet
36109.5,Slip Sheet
28830.5,Slip Sheet
59918.0,Slip Sheet
4255.5,Slip Sheet
29857.0,Slip Sheet
13674.0,Not Slip Sheet
11208.5,Not Slip Sheet
14414.0,Not Slip Sheet
14079.0,Not Slip Sheet
28439.0,Slip Sheet
43171.5,Slip Sheet
4472.0,Slip Sheet
29358.0,Slip Sheet
18463.5,Slip Sheet
35600.0,Slip Sheet
2162.5,Slip Sheet
28089.0,Slip Sheet
18073.5,Slip Sheet
35701.0,Slip Sheet
2314.5,Slip Sheet
23875.0,Slip Sheet
25220.5,Slip Sheet
37423.0,Slip Sheet
840.5,Slip Sheet
28081.0,Slip Sheet
23303.0,Slip Sheet
37535.5,Slip Sheet
1685.0,Slip Sheet
29688.5,Slip Sheet
13934.0,Not Slip Sheet
10573.5,Not Slip Sheet
11635.0,Not Slip Sheet
11555.5,Not Slip Sheet
12180.5,Not Slip Sheet
10865.0,Not Slip Sheet
10728.0,Not Slip Sheet
10081.0,Not Slip Sheet
13096.0,Not Slip Sheet
9646.5,Not Slip Sheet
10140.0,Not Slip Sheet
10655.0,Not Slip Sheet
13472.5,Not Slip Sheet
9391.0,Not Slip Sheet
9768.5,Not Slip Sheet
9914.0,Not Slip Sheet
13401.5,Not Slip Sheet
8235.5,Not Slip Sheet
9101.0,Not Slip Sheet
9341.0,Not Slip Sheet
12866.5,Not Slip Sheet
8773.0,Not Slip Sheet
11152.0,Not Slip Sheet
11721.0,Not Slip Sheet
13892.5,Not Slip Sheet
9702.0,Not Slip Sheet
10561.0,Not Slip Sheet
9124.5,Not Slip Sheet
12433.5,Not Slip Sheet
9967.0,Not Slip Sheet
10198.0,Not Slip Sheet
9569.0,Not Slip Sheet
